DEPTH_m,data_source,lo_05,med_50,hi_95
-5,observed values,4.884243431,2.930546058,0.488424343
-25,observed values,4.397537379,3.98526825,0.961961302
-50,observed values,1.97136591,1.724945171,0.246420739
-75,observed values,1.878375205,1.878375205,0.939187603
-100,observed values,4.488106518,2.992071012,0.498678502
-112.5,observed values,7.648508541,6.798674259,5.099005694
-200,observed values,14.88833747,10.91811414,3.970223325
-400,observed values,8.698173384,7.731709674,0.966463709
-600,observed values,11.4340162,10.48118152,4.764173416
-800,observed values,4.625930443,3.364313049,2.943773918
-1000,observed values,3.854678616,2.891008962,0.963669654
-5,loess model,4.919932143,3.421550082,0.615831615
-25,loess model,3.947089192,2.969758651,0.622112666
-50,loess model,2.882487741,2.488403536,0.661148361
-75,loess model,3.535427718,2.980383199,1.264506479
-100,loess model,5.26924416,4.365581792,2.553794492
-112.5,loess model,6.720625384,5.547594532,3.496711481
-200,loess model,15.00919071,11.0848239,4.271582499
-400,loess model,10.69616757,9.073102625,2.615308614
-600,loess model,8.544582348,7.401385934,2.993735457
-800,loess model,6.158968824,5.094384067,2.439957903
-1000,loess model,3.541063652,2.508820298,1.704531617